[2026-03-28T08:16:18.934Z] [INFO] Checking system dependencies... 
[2026-03-28T08:16:18.942Z] [INFO]   ✓ pdfinfo found at /usr/bin/pdfinfo 
[2026-03-28T08:16:18.944Z] [WARN]   - pdf2html not found (optional) 
[2026-03-28T08:16:18.946Z] [INFO]   ✓ pdftohtml found at /usr/bin/pdftohtml 
[2026-03-28T08:16:18.949Z] [WARN]   - pdf2htmlEX not found (optional) 
[2026-03-28T08:16:18.949Z] [INFO] Using tool: pdftohtml 
[2026-03-28T08:16:18.949Z] [INFO] Input: /home/stefan/Projects/ecudocs.com/src/content/pdfs 
[2026-03-28T08:16:18.949Z] [INFO] Output: /home/stefan/Projects/ecudocs.com/src/content/pdf-html 
[2026-03-28T08:16:18.949Z] [INFO] Parallel workers: 1 
[2026-03-28T08:16:18.950Z] [INFO] Found 253 PDF files 
[2026-03-28T08:16:18.978Z] [INFO] Converting -E90-Driver-Info-Systems.qxd (66 pages)... 
[2026-03-28T08:16:20.132Z] [INFO] Converting 01-Basic-Measuring-Techniques.qxd (25 pages)... 
[2026-03-28T08:16:20.604Z] [INFO] Converting 01-Brake-Systems (74 pages)... 
[2026-03-28T08:16:22.250Z] [INFO] Converting 01-Brake-Systems_1 (72 pages)... 
[2026-03-28T08:16:23.615Z] [INFO] Converting 01-Brake-Systems_1_2 (2 pages)... 
[2026-03-28T08:16:23.685Z] [INFO] Converting 01-E70-LCI (16 pages)... 
[2026-03-28T08:16:23.924Z] [INFO] Converting 01-E70-LCI_1 (19 pages)... 
[2026-03-28T08:16:24.489Z] [INFO] Converting 01-E70-LCI_1_2 (16 pages)... 
[2026-03-28T08:16:24.732Z] [INFO] Converting 01-E90-Complete-Vehicle.qxd (29 pages)... 
[2026-03-28T08:16:25.158Z] [INFO] Converting 01-M-Heritage (26 pages)... 
[2026-03-28T08:16:25.643Z] [INFO] Converting 02a-Multiple-Restraint-Systems.qxd (53 pages)... 
[2026-03-28T08:16:26.417Z] [INFO] Converting 02b-E90-Multiple-Restraint-System-5.qxd (22 pages)... 
[2026-03-28T08:16:26.725Z] [INFO] Converting 06a-E90-General-Vehicle-Electrical.qxd (114 pages)... 
[2026-03-28T08:16:28.464Z] [INFO] Converting 06b-E90-General-Vehicle-Electrical-II.qxd (79 pages)... 
[2026-03-28T08:16:29.676Z] [INFO] Converting 1-complete-vehicle.qxd (22 pages)... 
[2026-03-28T08:16:30.034Z] [INFO] Converting 12-E46-M3-Running-Gear.qxd (15 pages)... 
[2026-03-28T08:16:30.228Z] [INFO] Converting AutoManual-Vehicle-Specs-Interior-Exterior-Systems (21 pages)... 
[2026-03-28T08:16:30.679Z] [INFO] Converting AutomatedVehicleSystemsOverview-04-07 (27 pages)... 
[2026-03-28T08:16:31.040Z] [INFO] Converting B46-Engine (150 pages)... 
[2026-03-28T08:16:33.290Z] [INFO] Converting BMW-3-Series-LCI-Technical-Training-Manual (36 pages)... 
[2026-03-28T08:16:33.797Z] [INFO] Converting BMW-B46TU-B48TU-Engines-Technical-Training-April-2017 (40 pages)... 
[2026-03-28T08:16:34.374Z] [INFO] Converting BMW-B57-Engine-Training-Manual-June-2015 (190 pages)... 
[2026-03-28T08:16:37.372Z] [INFO] Converting BMW-B58-Engine-Training-Manual-April-2015 (76 pages)... 
[2026-03-28T08:16:38.470Z] [INFO] Converting BMW-Driver-Assistance-Systems-2018 (64 pages)... 
[2026-03-28T08:16:39.388Z] [INFO] Converting BMW-F10-Chassis-Dynamics-Service-Manual (64 pages)... 
[2026-03-28T08:16:40.376Z] [INFO] Converting BMW-F10-DAS-General-Information-Nov-2009 (60 pages)... 
[2026-03-28T08:16:41.306Z] [INFO] Converting BMW-F10-Displays-Indicators-Controls-Service-Manual-December2009 (14 pages)... 
[2026-03-28T08:16:41.532Z] [INFO] Converting BMW-F10-Gen-VE-Symbols-Guide-Dec2009 (76 pages)... 
[2026-03-28T08:16:42.695Z] [INFO] Converting BMW-F10-Passive-Safety-Systems-Manual (36 pages)... 
[2026-03-28T08:16:43.250Z] [INFO] Converting BMW-F10-Powertrain-Service-Manual-December-2009 (34 pages)... 
[2026-03-28T08:16:43.768Z] [INFO] Converting BMW-F10-Service-Manual-Entertainment-Communication-December2009 (34 pages)... 
[2026-03-28T08:16:44.276Z] [INFO] Converting BMW-F22-F23-F87-LCI-TechnicalTraining-March2017 (36 pages)... 
[2026-03-28T08:16:44.776Z] [INFO] Converting BMW-F23-Complete-Vehicle-Technical-Training-September-2014 (68 pages)... 
[2026-03-28T08:16:45.724Z] [INFO] Converting BMW-F25-LCI-F26-Complete-Vehicle-Technical-Training-March-2014 (50 pages)... 
[2026-03-28T08:16:46.404Z] [INFO] Converting BMW-F33-Complete-Vehicle-Training-Manual-November2013 (50 pages)... 
[2026-03-28T08:16:47.091Z] [INFO] Converting BMW-F34-Complete-Vehicle-Technical-Training-March2013 (40 pages)... 
[2026-03-28T08:16:47.659Z] [INFO] Converting BMW-F34-LCI-TechnicalTraining-Manual (40 pages)... 
[2026-03-28T08:16:48.217Z] [INFO] Converting BMW-F39-Complete-Vehicle-Training-Manual-Oct2017 (56 pages)... 
[2026-03-28T08:16:49.007Z] [INFO] Converting BMW-F85-F86-Training-Manual-November-2014 (76 pages)... 
[2026-03-28T08:16:50.072Z] [INFO] Converting BMW-F90-Training-Manual-September-2017 (156 pages)... 
[2026-03-28T08:16:52.392Z] [INFO] Converting BMW-G02-Complete-Vehicle-Training-Manual (42 pages)... 
[2026-03-28T08:16:53.045Z] [INFO] Converting BMW-G05-Driver-Assistance-Systems-July2018 (46 pages)... 
[2026-03-28T08:16:53.744Z] [INFO] Converting BMW-G05-GeneralVehicleElectronics-TrainingManual-July2018 (148 pages)... 
[2026-03-28T08:16:55.945Z] [INFO] Converting BMW-G05-Infotainment-Technical-Training-July2018 (48 pages)... 
[2026-03-28T08:16:56.619Z] [INFO] Converting BMW-G12-LCI-PHEV-High-voltage-Battery-Training-Manual-November-2018 (28 pages)... 
[2026-03-28T08:16:57.018Z] [INFO] Converting BMW-G12-LCI-PHEV-High-voltage-Components-Technical-Training (46 pages)... 
[2026-03-28T08:16:57.686Z] [INFO] Converting BMW-G12-LCI-Training-Manual-January-2019 (54 pages)... 
[2026-03-28T08:16:58.496Z] [INFO] Converting BMW-G14-Technical-Training-November-2018 (50 pages)... 
[2026-03-28T08:16:59.221Z] [INFO] Converting BMW-G15-Displays-Controls-Technical-Training-June-2018 (30 pages)... 
[2026-03-28T08:16:59.695Z] [INFO] Converting BMW-G15-Driver-Assistance-Systems-June2018 (44 pages)... 
[2026-03-28T08:17:00.398Z] [INFO] Converting BMW-G15-General-Vehicle-Electronics-Training-Manual-June2018 (86 pages)... 
